央视,#genre#
搏击世界,https://epg.pw/api/tv/sports/fight.m3u8
冰雪体育,https://epg.pw/api/tv/sports/ice.m3u8

少儿,#genre#
少儿频道,https://epg.pw/api/tv/kids/cctv14.m3u8
动画乐园,https://epg.pw/api/tv/kids/donghua.m3u8
动漫世界,https://epg.pw/api/tv/kids/manhua.m3u8
智慧树,https://epg.pw/api/tv/kids/zhihuishu.m3u8

科教,#genre#
科教频道,https://epg.pw/api/tv/tech/cctv10.m3u8
探索发现,https://epg.pw/api/tv/tech/tansuo.m3u8
百家讲坛,https://epg.pw/api/tv/tech/baijia.m3u8
自然传奇,https://epg.pw/api/tv/tech/ziran.m3u8

戏曲,#genre#
戏曲频道,https://epg.pw/api/tv/opera/cctv11.m3u8
梨园闯关,https://epg.pw/api/tv/opera/liyuan.m3u8
过把瘾,https://epg.pw/api/tv/opera/guobayin.m3u8

音乐,#genre#
音乐频道,https://epg.pw/api/tv/music/cctv15.m3u8
精彩音乐汇,https://epg.pw/api/tv/music/jingcai.m3u8
民歌中国,https://epg.pw/api/tv/music/ge.m3u8
